kohde;jasen;tutkk;pkvp;pvknro;T1;tytyy;Vastaaja;sp;IKAL1;PERHEV;ELVAIHE1;TOIMINTA;ISCO3KA_2;TOLA8KA_2;SOSE;TYOAIKA;TKES;YLSIV;KASTE_2;suuralue2;kunry;TIHEYS;ASALUE;KOKO_2;ANSIOLKM_2;HDESI;V46
50001;1;5;6;1;1;3;1;2;6;3;7;1;9;5;4;2;NA;2;5;E;3;0.80;2;4+;2;7;0
50001;2;5;6;1;1;1;1;1;3;1;1;1;21;4;4;2;NA;1;3;E;3;0.80;2;4+;2;7;0
50002;1;9;7;1;1;3;1;1;6;4;6;1;13;4;5;2;NA;2;NA;E;1;0.80;1;4+;2;6;0
50002;2;9;7;1;1;3;1;2;6;4;6;1;1;9;3;2;NA;1;78;E;1;0.80;1;4+;2;6;50
50003;1;1;7;1;NA;;1;2;5;4;6;6;;;NA;NA;NA;2;6;A;2;0.44;2;4+;1;10;0
50003;2;1;7;1;NA;;2;1;1;1;1;3;;;NA;NA;NA;3;NA;A;2;0.44;2;4+;1;10;0
50004;1;1;4;1;1;3;1;2;7;3;7;1;16;2;5;2;NA;2;NA;D;2;0.50;1;2;2;10;0
50004;2;1;4;1;1;2;1;1;7;3;7;1;6;14;3;2;NA;3;3;D;2;0.50;1;2;2;10;0
50005;1;7;7;1;NA;;1;2;6;2;8;2;;;NA;NA;NA;3;NA;A;1;0.50;1;1;0;1;0
50006;1;3;1;1;NA;;1;2;4;5;3;6;;;NA;NA;NA;2;3;C;3;1.00;2;2;0;1;0
50007;1;5;1;1;1;3;1;1;7;3;7;1;15;3;5;2;NA;3;3;C;2;0.33;3;2;2;9;0
50007;2;5;1;1;1;3;1;2;6;3;7;1;5;9;5;2;NA;3;NA;C;2;0.33;3;2;2;9;0
50008;1;9;1;1;1;3;1;2;7;3;7;1;2;2;4;1;NA;3;NA;E;1;0.33;1;2;2;10;0
50008;2;9;1;1;1;3;1;1;7;3;7;1;16;2;4;2;NA;2;5;E;1;0.33;1;2;2;10;30
50009;1;11;1;1;1;2;1;2;7;3;7;1;5;12;3;1;NA;1;6;B;1;0.50;1;2;1;10;0
50011;1;8;3;1;1;3;1;2;4;2;2;1;15;3;4;2;NA;1;3;B;1;0.50;3;1;1;5;0
50012;1;4;4;1;NA;;1;2;8;2;8;5;;;NA;NA;NA;3;NA;C;1;0.50;1;1;0;5;0
50013;1;1;5;1;1;3;1;2;6;3;7;1;18;2;3;2;NA;2;3;A;1;0.67;1;2;2;4;0
50013;2;1;5;1;3;3;2;1;6;3;7;1;8;15;2;NA;NA;2;NA;A;1;0.67;1;2;2;4;0
50014;1;11;7;1;1;3;1;2;6;3;7;1;19;2;4;1;NA;3;NA;A;1;0.67;1;2;1;5;0
50014;2;11;7;1;NA;;1;1;7;3;7;5;;;NA;NA;NA;3;3;A;1;0.67;1;2;1;5;0
50015;1;2;7;1;NA;;1;1;8;3;7;5;;;NA;NA;NA;3;3;D;3;0.40;3;2;0;3;0
50015;2;2;7;1;NA;;1;2;8;3;7;5;;;NA;NA;NA;3;3;D;3;0.40;3;2;0;3;0
50016;1;3;7;1;NA;;1;1;8;2;8;5;;;NA;NA;NA;3;5;B;1;0.25;1;1;0;2;0
50017;1;9;4;1;1;3;1;1;7;3;7;1;3;7;5;2;NA;1;5;C;2;0.40;2;2;2;9;0
50017;2;9;4;1;1;2;1;2;7;3;7;1;3;3;4;2;NA;1;3;C;2;0.40;2;2;2;9;0
50018;1;9;2;1;NA;;1;2;8;3;7;5;;;NA;NA;NA;3;3;D;1;1.00;1;2;1;5;0
50018;2;9;2;1;4;3;1;1;8;3;7;1;3;16;2;1;NA;3;NA;D;1;1.00;1;2;1;5;0
50019;1;2;7;1;NA;;1;2;9;3;7;5;;;NA;NA;NA;3;3;C;3;0.40;2;2;0;4;0
50019;2;2;7;1;NA;;1;1;9;3;7;5;;;NA;NA;NA;3;NA;C;3;0.40;2;2;0;4;0
50020;1;10;7;1;NA;;1;2;4;4;5;6;;;NA;NA;NA;2;6;A;3;tammi.33;2;4+;1;3;0
50021;1;5;6;1;3;3;1;2;5;4;5;1;1;10;2;2;NA;2;5;B;1;1.00;1;3;2;9;0
50021;2;5;6;1;1;1;1;1;6;4;5;1;10;3;4;2;NA;2;3;B;1;1.00;1;3;2;9;0
50022;1;9;1;1;1;2;1;2;6;5;3;1;20;5;4;2;NA;3;3;B;1;0.67;1;2;1;5;50
50022;2;9;1;1;NA;;2;1;1;1;1;3;;;NA;NA;NA;3;NA;B;1;0.67;1;2;1;5;0
50023;2;5;7;1;2;3;1;2;6;4;6;1;8;13;1;2;NA;2;3;D;3;1.00;3;4+;2;4;0
50023;3;5;7;1;2;3;2;1;5;4;6;1;8;13;1;NA;NA;2;NA;D;3;1.00;3;4+;2;4;0
50024;1;2;2;1;3;3;1;1;4;4;5;1;5;12;2;2;NA;1;NA;A;1;1.00;1;3;1;2;0
50025;1;11;4;1;1;2;1;1;6;3;7;1;21;13;4;NA;NA;3;NA;B;3;0.33;2;2;2;10;0
50025;2;11;4;1;1;2;1;2;6;3;7;1;12;11;4;2;NA;3;3;B;3;0.33;2;2;2;10;0
50026;1;6;5;1;1;1;1;1;6;2;8;1;16;2;4;2;NA;2;NA;A;1;0.25;1;1;1;10;0
50027;1;12;3;1;NA;;1;2;8;3;7;5;;;NA;NA;NA;1;78;E;2;0.33;3;2;0;10;0
50028;1;9;1;1;1;3;1;2;5;4;6;1;20;5;3;2;NA;1;78;A;1;0.67;1;4+;2;5;0
50028;2;9;1;1;3;3;2;1;5;4;6;1;1;11;2;NA;NA;1;78;A;1;0.67;1;4+;2;5;0
50029;1;2;7;1;NA;;1;2;7;2;8;5;;;NA;NA;NA;3;3;A;1;1.00;1;1;0;7;0
50030;1;2;6;1;3;3;1;1;6;3;7;1;5;12;2;2;NA;1;6;D;2;0.40;2;2;2;9;0
50030;2;2;6;1;1;1;1;2;6;3;7;1;18;2;3;2;NA;1;78;D;2;0.40;2;2;2;9;0
50031;1;10;6;1;NA;;1;2;7;3;7;2;;;NA;NA;NA;3;NA;C;1;0.50;3;2;1;9;0
50031;2;10;6;1;1;3;1;1;7;3;7;1;11;8;5;2;NA;3;3;C;1;0.50;3;2;1;9;0
50032;1;6;7;1;NA;;1;2;8;3;7;5;;;NA;NA;NA;3;3;A;2;1.00;2;2;0;4;0
50032;2;6;7;1;NA;;1;1;8;3;7;5;;;NA;NA;NA;3;NA;A;2;1.00;2;2;0;4;0
50033;1;8;2;1;NA;;1;2;8;3;7;5;;;NA;NA;NA;2;3;B;1;0.40;1;2;0;4;0
50034;1;2;4;1;1;9;1;2;6;2;8;1;14;1;3;2;NA;1;6;E;2;0.50;1;2;2;6;30
50034;2;2;4;1;1;3;1;1;3;1;1;1;21;4;5;2;NA;1;3;E;2;0.50;1;2;2;6;0
50035;1;1;2;1;NA;;1;1;4;4;5;3;;;NA;NA;NA;1;3;C;1;1.00;1;3;0;5;760
50035;2;1;2;1;NA;;1;2;4;4;5;6;;;NA;NA;NA;1;78;C;1;1.00;1;3;0;5;0
50036;1;2;4;1;1;3;2;2;2;1;1;3;14;1;NA;NA;NA;2;NA;D;1;tammi.33;1;4+;2;5;370
50036;2;2;4;1;1;1;1;1;6;3;7;1;3;2;5;2;NA;3;NA;D;1;tammi.33;1;4+;2;5;0
50036;3;2;4;1;1;2;2;2;5;3;4;1;1;2;4;NA;NA;3;3;D;1;tammi.33;1;4+;2;5;0
50037;1;11;6;1;NA;;1;2;8;3;7;5;;;NA;NA;NA;3;NA;B;3;0.50;3;2;0;6;0
50037;2;11;6;1;NA;;1;1;8;3;7;5;;;NA;NA;NA;3;NA;B;3;0.50;3;2;0;6;0
50038;1;4;5;1;NA;;1;1;9;3;7;5;;;NA;NA;NA;3;NA;A;2;0.50;3;2;0;3;0
50038;2;4;5;1;NA;;1;2;9;3;7;5;;;NA;NA;NA;3;NA;A;2;0.50;3;2;0;3;0
50039;1;10;7;1;NA;;1;2;3;3;4;3;;;NA;NA;NA;1;3;D;1;0.50;1;1;0;2;320
50040;1;1;5;1;NA;;1;1;7;3;7;4;;;NA;NA;NA;3;NA;E;1;0.67;1;2;1;10;0
50040;2;1;5;1;1;2;1;2;7;3;7;1;12;13;4;2;NA;3;NA;E;1;0.67;1;2;1;10;0
50041;1;12;2;1;NA;;1;1;8;3;7;5;;;NA;NA;NA;3;3;D;1;0.67;1;2;0;7;0
50041;2;12;2;1;NA;;1;2;8;3;7;5;;;NA;NA;NA;3;3;D;1;0.67;1;2;0;7;0
50042;1;6;7;1;1;3;1;1;7;3;7;1;13;4;5;2;NA;2;NA;C;1;0.67;2;2;2;7;0
50042;2;6;7;1;1;3;1;2;7;3;7;1;9;8;5;2;NA;2;NA;C;1;0.67;2;2;2;7;0
50043;1;1;5;1;1;3;1;1;7;3;7;1;21;5;3;2;NA;1;6;D;1;0.40;1;2;1;10;0
50043;2;1;5;1;NA;;1;2;7;3;7;2;;;NA;NA;NA;1;5;D;1;0.40;1;2;1;10;0
